** File generated by WinEP - 5/10/2016 (5:23p) **

Station 	StrAV_SW
445.897186	0.363292
446.731018	0.358180
447.564850	0.371033
448.398682	0.357055
449.232513	0.378529
450.066345	0.364728
450.900177	0.315533
451.734009	0.374545
452.567841	0.369522
453.401672	0.382121
454.235504	0.369449
455.069336	0.391781
455.903168	0.378274
456.737000	0.324518
457.570831	0.385206
458.404694	0.379390
459.238525	0.392260
460.072357	0.376344
460.906250	0.399545
461.740112	0.384548
462.573975	0.329299
463.407837	0.392015
464.241699	0.385610
465.075592	0.399013
465.909454	0.382369
466.743317	0.406339
467.577179	0.390135
468.411041	0.333222
469.244904	0.397389
470.078735	0.391207
470.912598	0.404312
471.746460	0.387134
472.580322	0.399862
473.414185	0.396636
474.248047	0.401133
475.081909	0.406344
475.915771	0.397865
476.749634	0.389034
477.583496	0.391026
478.417389	0.397121
479.251251	0.404159
480.085114	0.410012
480.919037	0.399786
481.752930	0.389945
482.586823	0.392487
483.420715	0.400725
484.254608	0.405133
485.088501	0.410771
485.922394	0.401753
486.756287	0.391910
487.590179	0.392832
488.424072	0.400214
489.257965	0.407474
490.091858	0.411960
490.925720	0.401496
491.759613	0.391136
492.593506	0.393164
493.427399	0.400254
494.261292	0.406315
495.095184	0.412311
495.929077	0.400967
496.762970	0.390799
497.596863	0.392277
498.430756	0.399132
499.264648	0.405456
500.098541	0.411300
500.932495	0.400581
501.766418	0.388561
502.600342	0.390931
503.434265	0.398300
504.268188	0.403710
505.102112	0.408859
505.936035	0.398688
506.769958	0.387859
507.603851	0.388359
508.437775	0.395814
509.271698	0.404512
510.105621	0.407010
510.939514	0.395559
511.773438	0.384466
512.607361	0.386361
513.441284	0.392834
514.275208	0.399227
515.109131	0.405304
515.942993	0.392651
516.776917	0.381461
517.610840	0.383154
518.444763	0.389941
519.278687	0.395979
520.112671	0.401542
520.946594	0.390314
521.780579	0.377583
522.614502	0.379783
523.448486	0.386884
524.282410	0.392548
525.116333	0.397428
525.950317	0.386572
526.784241	0.375311
527.618164	0.375741
528.452148	0.383123
529.286072	0.389546
530.119995	0.394112
530.953979	0.382067
531.787903	0.370663
532.621826	0.372654
533.455750	0.378933
534.289734	0.385223
535.123657	0.392678
535.957581	0.378181
536.791565	0.366825
537.625488	0.368398
538.459473	0.375365
