** File generated by WinEP - 5/24/2016 (6:40p) **

Station 	Fy_R1   
316.598541	-20.995638
317.431854	-20.978992
318.265198	-20.950397
319.098541	-20.945381
319.931854	-20.974184
320.765198	-20.970167
321.598541	-20.960678
322.431854	-20.955481
323.265198	-20.954111
324.098541	-20.936016
324.931854	-20.927464
325.765198	-20.927071
326.598541	-20.916807
327.431854	-20.908184
328.265198	-20.903278
329.098541	-20.898186
329.931854	-20.886669
330.765198	-20.873564
331.598541	-20.862217
332.431854	-20.852859
333.265198	-20.848022
334.098541	-20.847498
334.931854	-20.846943
335.765198	-20.854103
336.598541	-20.860788
337.431854	-20.855629
338.265198	-20.853392
339.098541	-20.854639
339.931854	-20.857594
340.765198	-20.860952
341.598541	-20.867046
342.431854	-20.871662
343.265198	-20.871078
344.098541	-20.873503
344.931885	-20.878643
345.765198	-20.884024
346.598541	-20.889799
347.431885	-20.896532
348.265198	-20.902235
349.098541	-20.906338
349.931885	-20.912798
350.765198	-20.920969
351.598541	-20.934103
352.431885	-20.953335
353.265198	-20.965870
354.098541	-20.974180
354.931885	-20.980772
355.765198	-20.987909
356.598541	-20.989763
357.431885	-20.988062
358.265198	-21.003218
359.098541	-21.015972
359.931885	-21.025099
360.765198	-21.034931
361.598541	-21.044992
362.431885	-21.052986
363.265198	-21.062134
364.098541	-21.037582
364.931885	-21.028500
365.765198	-21.039700
366.598541	-21.054272
367.431885	-21.077541
368.265198	-21.095066
369.098541	-21.107475
369.931885	-21.112919
370.765198	-21.122503
371.598541	-21.135046
372.431885	-21.133770
373.265198	-21.146631
374.098541	-21.163534
374.931885	-21.174511
375.765198	-21.184458
376.598541	-21.179510
377.431885	-21.146975
378.265198	-21.152206
379.098541	-21.166840
379.931885	-21.185974
380.765228	-21.207756
381.598541	-21.223253
382.431885	-21.229671
383.265228	-21.233765
384.098541	-21.246609
384.931885	-21.255234
385.765228	-21.253712
386.598541	-21.266033
387.431885	-21.278898
388.265228	-21.285536
389.098541	-21.293365
389.931885	-21.305111
390.765228	-21.313360
391.598541	-21.309818
392.431885	-21.269682
393.265228	-21.276964
394.098541	-21.284269
394.931885	-21.292646
395.765228	-21.307791
396.598541	-21.324530
397.431885	-21.328423
398.265228	-21.329847
399.098541	-21.340611
399.931885	-21.345531
400.765228	-21.341677
401.598541	-21.337444
402.431885	-21.346964
403.265228	-21.350660
404.098541	-21.353577
404.931885	-21.361092
405.765228	-21.364632
406.598541	-21.364252
407.431885	-21.366697
408.265228	-21.374880
409.098541	-21.379587
409.931885	-21.383480
410.765228	-21.389593
411.598541	-21.393164
412.431885	-21.395245
413.265228	-21.399677
414.098541	-21.405878
414.931885	-21.409719
415.765228	-21.412924
416.598541	-21.417019
417.431885	-21.419540
418.265228	-21.421467
419.098541	-21.424679
419.931885	-21.428001
420.765228	-21.429726
421.598541	-21.431068
422.431885	-21.432669
423.265228	-21.433311
424.098541	-21.433653
424.931885	-21.434507
425.765228	-21.434940
426.598541	-21.434347
427.431885	-21.433540
428.265228	-21.432716
429.098541	-21.431280
429.931885	-21.429638
430.765228	-21.428097
431.598541	-21.426079
432.431885	-21.423454
433.265228	-21.420719
434.098541	-21.417889
434.931885	-21.414684
435.765228	-21.411346
436.598541	-21.407978
437.431885	-21.404278
438.265228	-21.400286
439.098541	-21.396282
439.931885	-21.392227
440.765228	-21.387999
441.598572	-21.383743
442.431885	-21.379494
443.265228	-21.375111
444.098572	-21.370667
444.931885	-21.366312
445.765228	-21.361996
446.598572	-21.357676
447.431885	-21.353436
448.265228	-21.349283
449.098572	-21.345161
449.931885	-21.341135
450.765228	-21.337271
451.598572	-21.333534
452.431885	-21.329908
453.265228	-21.326447
454.098572	-21.323147
454.931885	-21.319984
455.765228	-21.317005
456.598572	-21.314230
457.431885	-21.311636
458.265228	-21.309217
459.098572	-21.307001
459.931885	-21.304979
460.765228	-21.303143
461.598572	-21.301510
462.431885	-21.300083
463.265228	-21.298843
464.098572	-21.297787
464.931885	-21.296923
465.765228	-21.296238
466.598572	-21.295725
467.431885	-21.295382
468.265228	-21.295204
469.098572	-21.295170
469.931885	-21.295275
470.765228	-21.295513
471.598572	-21.295870
472.431885	-21.296333
473.265228	-21.296898
474.098572	-21.297546
474.931885	-21.298264
475.765228	-21.299038
476.598572	-21.299862
477.431885	-21.300716
478.265228	-21.301592
479.098572	-21.302473
479.931885	-21.303349
480.765228	-21.304205
481.598572	-21.305029
482.431885	-21.305811
483.265228	-21.306538
484.098572	-21.307198
484.931885	-21.307781
485.765228	-21.308279
486.598572	-21.308680
487.431885	-21.308977
488.265228	-21.309166
489.098572	-21.309238
489.931885	-21.309191
490.765228	-21.309015
491.598572	-21.308708
492.431915	-21.308270
493.265228	-21.307695
494.098572	-21.306988
494.931915	-21.306147
495.765228	-21.305172
496.598572	-21.304068
497.431915	-21.302835
498.265228	-21.301483
499.098572	-21.300018
499.931915	-21.298447
500.765228	-21.296778
501.598572	-21.295019
502.431915	-21.293184
503.265228	-21.291286
504.098572	-21.289339
