** File generated by WinEP - 5/11/2016 (9:36p) **

Station 	Steer_SW
287.934784	12.168884
288.493073	12.267913
289.051361	12.358114
289.609680	12.436605
290.167969	12.516785
290.726257	12.602741
291.284546	12.686981
291.842865	12.765254
292.401184	12.844088
292.959534	12.917732
293.517883	12.987707
294.076233	13.061353
294.634644	13.138249
295.193054	13.214991
295.751526	13.290787
296.309998	13.366866
296.868500	13.441168
297.427063	13.514297
297.985626	13.588619
298.544250	13.662910
299.102936	13.735931
299.661652	13.807736
300.220734	13.878864
300.780273	13.948798
301.339783	14.017947
301.899200	14.087001
302.458618	14.155282
303.017975	14.222466
303.577271	14.293089
304.136505	14.365200
304.695679	14.419657
305.254791	14.477162
305.813904	14.540337
306.372986	14.606290
306.932037	14.671012
307.491089	14.736856
308.050110	14.803137
308.609131	14.864960
309.168152	14.928827
309.727142	14.992832
310.286163	15.055464
310.845184	15.116627
311.404205	15.177631
311.963257	15.238162
312.522308	15.297353
313.081421	15.356690
313.640533	15.415129
314.199677	15.471680
314.758850	15.526819
315.318085	15.580923
315.877350	15.633928
316.436676	15.685821
316.996033	15.737020
317.555481	15.787197
318.114960	15.836055
318.674530	15.883941
319.234161	15.930910
319.793854	15.976944
320.353943	16.021997
320.914124	16.066145
321.474304	16.109259
322.034454	16.151285
322.594574	16.192364
323.154633	16.232473
323.714569	16.313776
324.274353	16.355909
324.833984	16.341198
325.393555	16.352831
325.953064	16.389664
326.512543	16.433043
327.072021	16.477674
327.631470	16.533949
328.190887	16.587078
328.750275	16.627426
329.309662	16.683033
329.869049	16.742138
330.428406	16.795803
330.987793	16.847940
331.547180	16.904274
332.106567	16.960068
332.665985	17.013876
333.225403	17.072979
333.784882	17.130251
334.344360	17.181835
334.903900	17.230753
335.463470	17.278803
336.023102	17.324690
336.582764	17.369205
337.142517	17.414661
337.702332	17.458572
338.262207	17.500212
338.822144	17.541372
339.382172	17.582151
339.942291	17.622028
340.502502	17.661417
341.062653	17.700733
341.622681	17.739008
342.182617	17.776161
342.742462	17.812859
343.302246	17.848953
343.861938	17.882860
344.421570	17.917433
344.981171	17.951178
345.540680	17.983828
346.100128	18.015436
346.659576	18.046169
347.218933	18.075823
347.778290	18.104397
348.337616	18.132483
348.896912	18.159660
349.456177	18.185915
350.015442	18.211355
350.574707	18.236040
351.133972	18.259808
351.693237	18.282745
352.252533	18.305035
352.811829	18.326536
353.371124	18.347252
353.930481	18.367268
354.489868	18.386600
355.049255	18.405231
355.608734	18.423197
356.168243	18.440519
356.727814	18.457212
357.287445	18.473198
357.847137	18.488560
358.406921	18.503328
358.966766	18.517471
359.526703	18.531067
360.086731	18.544134
360.646698	18.556677
361.206573	18.568621
361.766357	18.580040
362.326050	18.590977
362.885681	18.601446
363.445221	18.610645
364.004700	18.618103
364.564087	18.628000
365.123444	18.637178
365.682739	18.645193
366.242004	18.652155
366.801208	18.658365
367.360352	18.663589
367.919495	18.668108
368.478607	18.672840
