炉石传说：【天天素材库】 第28期
up主: 天天卡牌
时间	发送日期		弹幕内容
07:15	11-07 19:07:08	傻龙10费 战吼 来一场精彩的演出	
02:08	11-07 19:07:17	夫妻档，而且还是老毕在上面	
00:00	11-07 19:07:28	失踪人口回归	
05:24	11-07 19:08:06	bill直播，明天不播	
07:34	11-07 19:08:11	同福之王瓦莉拉	
08:44	11-07 19:08:40	大家下个星期见	
00:04	11-07 19:09:41	失踪人口回归	
01:41	11-07 19:10:07	在现场，喰らえ	
00:02	11-07 19:11:06	欢迎回来天天卡牌！	
00:00	11-07 19:11:23	前两千	
00:22	11-07 19:11:34	你还有屁股回来？	
00:10	11-07 19:12:01	失踪人口	
01:50	11-07 19:12:05	爆弾が我が敌を喰らう	
02:51	11-07 19:12:36	我这条命都是四驱车给的	
00:00	11-07 19:12:34	两小时前！	
01:49	11-07 19:13:01	110	
00:48	11-07 19:13:09	？？？	
02:51	11-07 19:13:08	23333	
02:07	11-07 19:13:29	夫妻档	
06:26	11-07 19:13:24	我也这样死过	
04:32	11-07 19:13:24	金正涛	
03:46	11-07 19:13:36	大帝骑士	
02:49	11-07 19:14:01	负面素材上线	
00:03	11-07 19:14:19	前七万	
08:39	11-07 19:14:44	还是恩佐斯和亚杀鸡坚挺	
02:27	11-07 19:14:44	卧槽	
02:15	11-07 19:15:05	大哥光芒万丈	
02:52	11-07 19:15:10	233333	
05:23	11-07 19:15:38	我台主播	
04:30	11-07 19:15:42	bgm不对啊	
05:54	11-07 19:15:46	傻龙改版后继续养活一个节目	
03:42	11-07 19:16:03	雪兔好久不见....	
04:03	11-07 19:16:31	@血骑	
02:30	11-07 19:16:29	Ｏ(≧▽≦)Ｏ 	
05:36	11-07 19:16:58	2333	
04:35	11-07 19:17:03	美服....泰兰德..	
03:05	11-07 19:16:55	这个id不是以前60年代魔兽世界 法神V大用的吗.	
04:50	11-07 19:17:08	.欧服..	
00:04	11-07 19:16:59	前	
05:08	11-07 19:17:29	233333333	
06:26	11-07 19:17:38	23333	
02:12	11-07 19:17:42	←_←说张一曼的等等我	
07:25	11-07 19:17:45	为什么瓦娘还要带傻龙，论我瓦的执着	
06:38	11-07 19:17:50	自杀系列	
05:41	11-07 19:17:58	2333333	
02:25	11-07 19:18:06	祖尔法拉克敲铜锣！！！	
00:18	11-07 19:18:06	前七万	
06:03	11-07 19:18:30	23333333	
02:35	11-07 19:18:30	滑稽。。。	
06:15	11-07 19:18:32	对捂住，我系差人	
00:10	11-07 19:18:34	无无素材库	
07:28	11-07 19:18:40	同福导演	
00:00	11-07 19:18:51	第一	
02:52	11-07 19:18:57	我这条命都是四驱车给的！！！	
06:52	11-07 19:19:10	完美！！！	
00:07	11-07 19:19:39	失踪人口回归	
03:37	11-07 19:19:42	我去，村长好久不见	
04:54	11-07 19:20:16	这是欧服再问自杀	
00:20	11-07 19:20:23	前前前	
