【MAD】续 夏目朋友帐子ＥＤ - 爱的 【中国語Ver.】
up主: 冷场莫莫
时间	发送日期		弹幕内容
02:54	07-26 02:55:18	已不是我	
02:57	07-26 02:55:25	也曾快乐过	
02:59	07-26 02:56:04	回忆从不寂寞	
03:04	07-26 02:56:16	你问我	
03:07	07-26 02:56:24	是否还会想起那些事	
03:11	07-26 02:56:41	或者遗忘了	
03:14	07-26 02:57:09	我低下头只剩沉默	
03:19	07-26 02:57:20	明白爱是解不开的枷锁	
03:30	07-26 02:57:37	你问我	
03:32	07-26 02:58:04	是否还会记起承诺	
03:37	07-26 02:58:22	和年少的梦	
03:40	07-26 02:58:37	分开后感受到的痛	
03:46	07-26 02:58:58	心在颤动~~~	
03:52	07-26 02:59:15	吼~	
03:53	07-26 02:59:37	在爱情的旅途	
03:56	07-26 02:59:45	一起走过的路	
03:59	07-26 02:59:58	手心里残留着	
04:03	07-26 03:00:18	你的温度	
04:07	07-26 03:00:47	就让时间停驻	
04:11	07-26 03:00:57	不管再多的苦	
04:14	07-26 03:01:17	只属于我们的幸福	
04:19	07-26 03:01:43	在爱情的旅途	
04:22	07-26 03:01:50	未能走完的路	
04:24	07-26 03:02:13	我真心的祈求	
04:28	07-26 03:03:19	过多少春秋	
04:32	07-26 03:03:31	最后陪伴你的人	
04:37	07-26 03:03:44	不一定是我	
04:39	07-26 03:03:50	也曾拥有过	
04:41	07-26 03:04:05	回忆从不寂寞	
04:46	07-26 03:04:12	也曾快乐过	
04:48	07-26 03:04:23	回忆从不寂寞	
01:52	08-03 23:35:00	声音和曲很搭~	
05:02	08-04 20:07:13	2014.8.4	
03:25	08-05 04:37:30	泪目了QAQ	
01:50	08-07 15:55:30	简直太赞!!!	
00:24	09-11 15:54:50	2014.9.11 考古	
02:02	09-24 20:30:12	这时候站名还是mikufans，	
02:13	09-24 20:30:23	av222	
00:50	02-06 23:44:34	治愈系啊	
00:25	02-26 13:54:53	2的ED	
00:00	02-28 23:05:27	1234	
00:00	02-28 23:10:13	hao	
00:30	03-01 20:03:03	我的生日是1997.2.22	
02:59	03-06 11:47:01	阿尼	
00:32	03-06 11:50:49	阿里嘎多，纳兹咩，谢谢你，夏目	
05:09	03-15 01:21:55	2015，3，15	
00:51	03-15 01:23:56	哇哦222	
01:16	03-15 01:24:57	好听	
03:06	03-15 01:26:47	好听啊	
03:37	03-15 01:27:19	词挺好的	
04:14	04-18 17:03:45	二二二，4.18生日快乐！	
04:14	04-18 17:03:52	二二二，4.18生日快乐！	
04:14	04-18 17:03:56	二二二，4.18生日快乐！	
04:14	04-18 17:04:00	二二二，4.18生日快乐！	
04:14	04-18 17:04:03	二二二，4.18生日快乐！	
04:14	04-18 17:04:07	二二二，4.18生日快乐！	
04:14	04-18 17:04:11	二二二，4.18生日快乐！	
04:14	04-18 17:04:15	二二二，4.18生日快乐！	
04:14	04-18 17:04:19	二二二，4.18生日快乐！	
04:14	04-18 17:04:23	二二二，4.18生日快乐！	
04:14	04-18 17:04:27	二二二，4.18生日快乐！	
04:14	04-18 17:04:30	二二二，4.18生日快乐！	
04:14	04-18 17:04:34	二二二，4.18生日快乐！	
00:40	04-18 17:05:00	挖OvO	
04:14	04-18 17:05:26	二二二，4.18生日快乐！	
04:18	04-18 17:19:35	唔。  比我预想的差很多。。。	
04:18	04-18 17:19:58	撒。生日快乐。	
04:19	04-18 17:20:10	摸头	
01:50	05-15 14:17:04	有	
00:56	05-24 08:55:08	考古来了	
00:09	07-03 10:53:27	av222	
00:44	07-03 10:54:12	看见男神我来了	
05:07	07-03 10:56:25	2015.7.3	
00:05	07-14 21:38:56	考古队～	
01:20	07-14 21:57:54	考古	
00:17	08-17 10:56:53	洛阳铲	
00:15	08-31 17:51:24	这残念的画质	
00:58	11-29 14:28:37	山杉我好想你，求你回来吧	
04:20	12-23 22:00:56	好棒！唱的这么好，竟然人这么少！【已投硬币√】	
00:05	02-02 01:52:46	山杉，我又回来了，不知道你还记不记得我给你说过的这个视频	
04:47	02-07 03:05:04	【谢谢你，一直都在我身边】	
01:45	02-11 19:25:55	夏目大人，最喜欢你了。	
03:23	02-28 11:47:18	感动	
03:37	02-28 11:47:32	啊啊	
01:04	03-09 12:31:42	好听~~	
00:00	03-09 12:35:51	感动！	
00:45	06-25 12:10:53	2016.6.25	
00:04	06-25 13:20:45	考古	
01:45	07-07 13:53:48	比原版好听走开，不是说这个不好，但是不能这样说原版	
00:31	08-28 16:11:54	居然输到了夏目	
02:40	09-10 11:50:11	感觉哔哩哔哩可以加个点赞功能	
01:57	09-13 22:37:11	好听啊	
00:59	10-11 19:58:19	好听	
